Address,Weight,Total share
0x86f31dd9b35b7bb6f0e1eecc1bab89760956d991,10287.55,0.11089180%
0xb2515a7221b2654f9faae0e4ed1d0e49aa7b85dd,9787.989609,0.10550692%
0x82858b7dbaa6966c0f23a45ec1df2a26ea8cf8ff,9779.837441,0.10541905%
0x8061199a31983a077e691c08b2263a4cf5c24093,9659.271965,0.10411945%
0x3bc4e4afd4ad53e58e265d6002e2b5a2c4c52130,9324.355915,0.10050931%
0x4d396974c5813159c704e96acdada21eb01005ed,8434.390589,0.09091618%
0x52008955dc8f70b8930546ebe105225815afd25c,8311.39493,0.08959038%
0x92b2a732e117c8c5c29b65d55f0f600fc1340b31,8240.10089,0.08882189%
0x63c9e4f81716debc57db9fbc60600106a44b9964,8110.476525,0.08742464%
0x97f278f7bb38df9326bb9482a9dfdd5bb4086958,7913.694375,0.08530348%
0xb9c0aba138b98656ffea4309bfe2881b0b7c1d96,7466.81039,0.08048642%
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,7315.21361,0.07885232%
0x8a249d31750d727e6a3a7b534255badd575aa26f,6538.9345,0.07048463%
0xfd8bd978f198503a0ba9c5d7f7586e23fc4a4b40,6018.7737,0.06487770%
0xe2a4de267cdd4ff5ed9ba13552f5c624b12db9b2,4554.823057,0.04909745%
0x947ebecd725e07bac225363f328de957aa5819b3,3240.6465,0.03493165%
0xb9cf551e73bec54332d76a7542fdacbb77bfa430,3232.057431,0.03483907%
0xe8efe3c70e5adc3869a6bf2ef284417e623dc313,3099.446675,0.03340963%
0x994f1454e1e70e7cb2ebfe5cd577222e76f51e24,3066,0.03304910%
0x77f331dbba4093e6da9e0e0e1ca94922cb3382ff,2986.221,0.03218914%
0x23e817b3982ba0e033dab4fa1b47088418ad6b2a,2601.3155,0.02804016%
0xc2d3259640b7ac40ddf5ea11220eb631d325cd6d,2433.084157,0.02622676%
0xe0b2add5c2d094008d014369ab6bc5c42cf3acad,2327.554105,0.02508923%
0x372c50019fb522a96b24437dc8d981613c5e15ea,2296.71397,0.02475679%
0x2807566a005cd0b174668d654ad227d0a529c54e,1978.13229,0.02132273%
0xd653971fa19ef68bc80becb7720675307bfb3ee6,1617.7105,0.01743766%
0xa1fc03e69e031ae9682b6e1b2c9669a33de39b09,1516.070915,0.01634207%
0x6810312fe7193343a9cd7b53b838ee4dd855bf82,1500,0.01616883%
0x120add821f8d8dc1c5fafbc0c1265f9b719b86d6,1355.748045,0.01461391%
0x4334703b0b74e2045926f82f4158a103fce1df4f,999.817,0.01077725%
0xa2bf60058c0657c45fdd1741220b4a7f0da91ca3,988.133471,0.01065131%
0x794a15f93ced01f1b0be5b184344f0b811851bc0,964.803,0.01039983%
0xdb10d21f28a34fd04e4425eac777483798f7e217,520.9645,0.00561559%
0xbe611bb1e96c9b1c587afec66c72df2018077e0d,420.425716,0.00453186%
0x8d681ec73090d8e638ed2e1048fcb62ed1e57b40,410.823,0.00442835%
0x22097685051c9a3d000b8765cd826f4c3da957cb,352.674,0.00380155%
0xfeedc50149aeed26aa262927d02f720f96580647,324.156,0.00349415%
0xfaa9870c2fd360f11bc08446231b95c32925c3cc,286.734,0.00309077%
0x1771abb85f6d47b72566932f79588bc8ee58f645,110.633595,0.00119254%
0xc4790b00a5412f13d8d9a2551641c989d71f1a98,97.1005,0.00104667%
0xc93678ec2b974a7ae280341cefeb85984a29fff7,22.98889,0.00024780%
0x60b1708e496f33efb9198fe5219656f31665d16c,19.6759,0.00021209%
0x854b004700885a61107b458f11ecc169a019b764,14.392,0.00015513%
0xc6e0fc25b114bb4ebcd35d7473f463e31f46b248,5.19386,0.00005599%
0x6d9f1a927cbcb5e2c28d13ca735bc6d6131406da,2.5,0.00002695%
0x288fba97017159b946e5761e4773f45dadb964e1,0.003506,0.00000004%
