Address,Proportion (scaled),Proportion
0x72ec822bc85551C6a4f5317b6860d0215cF902B6,1131143892327744,0.11%
0xEC0c666ACd059E2bBf5DD055f1a282bF0EBf16FC,1119504278068579,0.11%
0x148832f37889f6C186DD6DCe6aB8bf50CB5c05D8,1115660691907265,0.11%
0xE36256F2E0caE6E083E307c5e23E5caA21A16adF,1094122204766969,0.11%
0x485f5df0654c8405d6124821E95F093aDEc1b16b,1064552126342821,0.11%
0xE629E1F7d250d39AF4d704B486B094A4bA91Ef3b,1005511881952483,0.10%
0xaAD747958F996B22F360fD1d0e3BA56eFD477C1f,1003081576331505,0.10%
0x21777106355Ba506A31FF7984c0aE5C924deB77f,993853933443970,0.10%
0x11e1B440E87d6A8C14620F06213b9e218a286271,987479518533207,0.10%
0xA0619482c0fcf425D0571f49822F39B17A99b781,980511550229087,0.10%
0x0B86b1bccBb0222c8d877EfAD8fB06c4116AFA08,949596148188865,0.09%
0x4530F1232A8DCcF18453446f6fBcB86ADe5E5Eff,947328790908530,0.09%
0xB5714084eeF0f02eFDD145DFB3Fe2e3290591D7b,933745849939074,0.09%
0x15977e15d7b24C76f94D2902970e0F0EEDd78618,931455322705165,0.09%
0x8942AE01572653790D83959BEd158498fB2fa330,915356765973751,0.09%
0x1b3269DFE161A7C6d79616e2874215Ea3e044818,893762827812793,0.09%
0xc15fc417a1BB9850D0d7C9B8C98d87C009597e08,844183413361398,0.08%
0x296E0C21DB4061EbF971e55d5db85011E7Ff9797,840224883923994,0.08%
0x4a8B9E2C2940fdd39aceb384654dc59aCB58C337,830059887394128,0.08%
0x1AcB64EBeAcEc80c3bc29e5ea06e1F140B69a234,811862526778894,0.08%
0x357dfdC34F93388059D2eb09996d80F233037cBa,807496556501854,0.08%
0x1C3840eF5926683F08b2385A09B87A58b771aA81,796905002575185,0.08%
0x154001A2F9f816389b2F6D9E07563cE0359D813D,788545973565829,0.08%
0xc24CFD03cbc1b7Ff8EdAc1C85A6b9aE5Bf65869a,786734149884163,0.08%
0x02eF8147E2D0997cCA48d99f01bAD846D16558fa,758511637529218,0.08%
0xf17C85a47558fE00fd3b010744B34ad01d7069F9,735148018996861,0.07%
0xE1f8aFc92644Bfe77080D7DCb0f936F578E00F53,733834545109519,0.07%
0x15bD6E7cDF6632cf1565bf99984b5cCe6b49F87a,706053641859408,0.07%
0x02cEae0Aa5A9988f1D32E7E56e18A49F08848b75,696939542364825,0.07%
0x7c1124184c6F0952e5fB4ACd1246aD1197BFf1C7,695165325919445,0.07%
0xd05296fE69Ad59f2707836c9592021A8D6964651,660745885113239,0.07%
0x4Ed613ad593C5E24eF4cD590F29DeE0Ab79c40E3,656348083280664,0.07%
0x9d993fCF62DcA90842e770f8E78a07109225253d,650959660269663,0.07%
0xb7025E51a5DCcA0cb1C03f66fE31F5dCFfd599aa,646534723688780,0.06%
0x67BC76E8Fd78CC59594C9F43C643eA7CAfA48669,640502030285524,0.06%
0xbE18f84532d8f7fb6d7919401C0096f3e257DB8b,637685714953216,0.06%
0x5B78AE09929C53C77Ba29a13265e35a2f62Dd89F,633662572082499,0.06%
0xDD4459da878866aF221845Bbce0F936B47D1Eb24,627878141689566,0.06%
0x65D31F7eC97129EcE2c71672057a0CAC9282080E,618095340023296,0.06%
0x1C4E440e9f9069427d11bB1bD73e57458eeA9577,616964053671979,0.06%
0x50ED348f85De0772a61fF63Bbe33dF8dB30DE1B2,613373855421071,0.06%
0x14860ed3597D27afD017513Ab9EF9Cb9CC16F1f7,604094876383182,0.06%
0xE84ADC0964ee34CE0319DF3418636eD6a4117B97,597843841653585,0.06%
0x4060A97Fe2ac24D912472aeA5D1C063779360FEF,589923234770575,0.06%
0x044a9c43e95AA9FD28EEa25131A62b602D304F1f,563649861336880,0.06%
0x0f3cD69A5f6F9f1844e0cDbE0E191E18Cab9BE82,534378251466800,0.05%
0x331F150FD9f0dfacf02C4993a093143C0Bb81f26,524928731100290,0.05%
0xCd63A6bEC95Ce7c31457617D1F61AfF86F6064cf,512690417072764,0.05%
0xE6a3b16e73bd666a699e9C4df286BfF35B3e62B4,509801317889129,0.05%
0x4f3cD1e0b027a620a1db670F7A2189BB29C6a534,493955848679383,0.05%
0x1d9D7711A5f625F5867F81DCb99B39A08C0B10fe,492641652038961,0.05%
0x0C0bDEe8E90CA7546AeD12644398c7F4F15dAc20,490410189120146,0.05%
0x0397D4A6f9078884a1815f9dbE1e3fDcCfdc4C50,475852371407949,0.05%
0xC3598d91844B061195136600AD243b077Cc164e2,468434243827763,0.05%
0x37b954364592c0B4254813537e8b3cC4ae08e743,456826685808944,0.05%
0xEC5a0Dff55be882FAFe863895ef144b78aaEF097,452270017307774,0.05%
0xFc1C09b6847dC0A07a2fb1025fDe79872D0c19EF,439438698669542,0.04%
0x6E65Ce4Cc07fEB24b7D0439422B7FE58b93b9Cf6,437669054494751,0.04%
0xeb63ee9c8bE4C1D14C6D352Fad5ca8f933BE7af8,436562565169713,0.04%
0x8d605e606b3AEe143ff0d039F63100a52F17d85F,435954457389665,0.04%
0xa116f421ff82A9704428259fd8CC63347127B777,430040567087301,0.04%
0xBB4370B2ec5875aDD56B9434aE9232d1BCe5e9C7,427513060588938,0.04%
0xC5d3D004a223299C4F95Bb702534C14A32e8778c,426275019217787,0.04%
0x56333e65E28ECAb0C3e0A157eC441dd56672F061,424355027723670,0.04%
0xC2789bABe1a5cd95E81AE5f2444E82E1391bF7ce,422804093231215,0.04%
0x81AcBa11a66E9EdEABaA2Ff28101153724892eB7,416393388128856,0.04%
0x6CD71d6Cb7824add7c277F2CA99635D98F8b9248,409532779314377,0.04%
0xc0A819890303AE6F4ff5D4103eE76F9756661765,406137248603284,0.04%
0xb957DccaA1CCFB1eB78B495B499801D591d8a403,399550643110455,0.04%
0x63eAf0c0544c99d9DBDF550659Ef32d3664Aa567,398501215333371,0.04%
0xA7e6613e44D94B83056ef513A6bE0d2c7903318D,385525469278071,0.04%
0x3609462f90D6291735dccfF4141b3e315e1CdB28,384850871227187,0.04%
0xbcc181046fd96CCaDF0CEBe30D4Ff67D4373A126,379521977472570,0.04%
0x9aCf8D0315094d33Aa6875B673EB126483C3A2c0,377571628039753,0.04%
0xDbdE6081017F0a9F88DB0b23ea731f75e5285242,376956549007852,0.04%
0xC8EE3a64D20422Cf476E325B1978E5f10d0F59D2,366556514939656,0.04%
0x5EDCf547eCE0EA1765D6C02e9E5bae53b52E09D4,363846809564682,0.04%
0xD8de4C018fADB5a0CCcACB3eBd6A3Fe916f224f6,358169087186651,0.04%
0x0Ce390F18Af702Cca546297845a4A51D102123cf,353728438632979,0.04%
0xf4FE054C29845Ea85B4117c75DD1350472329aa0,348514392943305,0.03%
0x643430283B19fA5BD70A1138B495c2B43523CDd5,344655316236425,0.03%
0x5D0aC389c669D6EFE3BA96B9878d8156f180C539,344118697868186,0.03%
0xCC3e1c417B80584c36F9F0FFD4f0c49FB760000A,339940142720019,0.03%
0xa404D15D0847790Edb0FF09B8909A15d0Ff70A0a,339086132366129,0.03%
0x5E40CdD1210952a01647B3629eeC1e48fd026427,338597162447507,0.03%
0x9774e28baaA1e722673E45AD8FDc7666B3AA252E,336640352703073,0.03%
0xE515Ca170A2f702217722098CB0DC6A5cAD8D1f7,335189909243806,0.03%
0x788a5AB87d7f8De001386d1D65844fD26C317B7E,331802938879178,0.03%
0x31F048c427544b40Dea9b63E26749C925Bf5D931,331576893027350,0.03%
0x14B17f54bE2c41D7B1CaB0b299901a54bd957EAf,323936038770911,0.03%
0x57Ef012861c4937A76B5D6061bE800199A2b9100,322844038223779,0.03%
0xD6587a974C7D3ecE23Fa53d5606da6B291311F6f,316307865948262,0.03%
0x4B40F8fFe23BaC2035978a79077068DfA08c591f,310036972189409,0.03%
0xA583F99495077952103235Ad50606246d69e829f,309588113546847,0.03%
0x37bE92f21943dC91629d884F8C41C8203024633a,293941288193748,0.03%
0x78Bf8b271510E949ae4479bEd90c0c9a17cf020b,288353815950741,0.03%
0xedEBdcE8D3cE41dA2355699e350EE89335dD2f15,288299287103443,0.03%
0x9AA4E6641FEfD0764BfEBDeda637E7782d7eD4dc,282140935810840,0.03%
0x37EC326e2EAaFa21c2b22722c94e06c9084Dce7C,280115298805727,0.03%
0x76b8579694d1769a0390aDb3b199085845804cC1,276772882854215,0.03%
0x7D8FE788eD6a843F7525b8f16D087be1edAb67dc,276495020827313,0.03%
0x49Fa0a71C8C1E4C1a08Be6FC124351D5cE8ed7EE,275659425143703,0.03%
0x597F8B4977094539406E260960F4944B25789a92,275542454294105,0.03%
0x247bc6556B5d14416332575eBC6a2e65D9DB3109,271924418485114,0.03%
0x391891Af67E29D97E61E30C3036a0874F5Da411e,270569047370079,0.03%
0xc8728Ae130381EB77Fc9a8b715564B00e83E19Df,267735232046571,0.03%
0xaBBabe663709821aF104b4Bc80c46aEc0350fea1,256461553352265,0.03%
0xEe814D1926ff52d3BD6853B27e350E482DeED222,256065112161479,0.03%
0xF3F49Dd68586335EE3b01A86368043508c962C2a,251209049406031,0.03%
0x5ac2dE84277ab83A1385227e8E9BfDdf3893ac69,250221303005851,0.03%
0x65B43554DE616A5102152f00C8Cb09f1B5063ca2,242019325178762,0.02%
0xB21731D830b7e8460E5D6c66Dc1CcC0A5D0A6B87,240178988893073,0.02%
0x8Cc8Aa103bfE1CD8755DC80C64539370B587909F,239838491642725,0.02%
0x50eB093f32492A7d7cAc2D151c08fC8b74910Ed2,239597353418286,0.02%
0xF2baa666e9D04e29147353EBa49E9f621990CE24,238232148950124,0.02%
0x31e015e65b5FB16b8F3f415a435DA19aF5B3EFd4,233619769434010,0.02%
0x9ADA95Ce2a188C51824Ef76Dd49850330AF7545F,230644907632409,0.02%
0x3eF888B04FF1bF86247CF581Ae397530A017c8d9,230478076316702,0.02%
0x6C8E4D6f376336871821Dbe369BFE444fDd1fc99,228561462238346,0.02%
0xA429aC8bD9382E7F69645cc30bD718b5d33D674b,226424805770798,0.02%
0xC1D18d7Fc0ACbF04C57fECe593E3cC21d6be5A2d,224858216633342,0.02%
0xd6B69e6e97F2474065c24A1494b33F8A068f299B,223008363753730,0.02%
0x24fC7A0751BBF53C239cC1D21d2951A5b21f733d,221423875172831,0.02%
0xC81F0ED1403094a26543df05DADFebABb15A12c6,219461785793646,0.02%
0x24f8D92794A283B454D1Fc32722F51A4f3Bc1ae5,218028475546474,0.02%
0x61DCc507E71CEf30daD2ef616B7a463d35e032C4,217125401096552,0.02%
0x71045fE3685095cd048Fc5f59ff4a931a859A462,217016657106702,0.02%
0x8AfC7fD1C734a8BBCf74993D26816aC86EC37faf,216790786624088,0.02%
0x95Ab81Bc1532C8A696d89365f2e6f76a404Fe4DF,209939727243971,0.02%
0xC87b3359C4f5f1a19bDE219454867E8bAa573c2f,209270026865473,0.02%
0xd682fb159a2cBC47DE97A046D76391dDae104988,209152428162589,0.02%
0x946Fb1b69a0F53599CB685a9A12f870f280c5BD9,208333772055899,0.02%
0x3C37c0738C273756D508ebef1010A77F9A1Bd181,205974227799637,0.02%
0x4062b997279dE7213731dbe00485722a26718892,205478814508746,0.02%
0x66bB7C182672a4b4a1C5891B9fd708b241Ef3622,201445511768867,0.02%
0x530eC4DFad3b90FA4AFF1a4702C23624f22d6F30,201015254183582,0.02%
0x2fBa909aeD4345ac0C67c75C51d955f822b14629,199296519473329,0.02%
0xEa0f2952E7130C2029F88D3E95d9D775439fEEc6,198649039149363,0.02%
0x17FF46a45d10d8b2ef5b14C73F859D116e10dB4f,197685833154565,0.02%
0x943228378d4F29252Ddd317FAeE5b86E01cfF2B1,195813379621248,0.02%
0xc43f914C4a29901301BB5A889391e2DFdBE948E7,193567656156825,0.02%
0xed8056e619A1c7f6305d888630AAa2e447235d80,193004959135372,0.02%
0xEA7d6A3873CBB644a2FA3a124b00a25C33C661b8,191181881254169,0.02%
0x2d1EF4aCf4cae6a38950971AaAA15f88D9b3f165,184914451566328,0.02%
0x1F427A6FCdb95A7393C58552093e10A932890FA8,181502121862330,0.02%
0x8CcBf4A7bE2C6D6c167998cdAd6593a2a06c1995,181110049545510,0.02%
0xE0d710Ee7c6f644190c59920D3240cD6aF4a1bb6,181083481326064,0.02%
0xf9551c66995eD3Ff9bb05C9Fd7ff148Bd75dc99a,179911389417290,0.02%
0xA75204De25E91F82c5B0B849B247515153AC61e9,178685471850518,0.02%
0x6ab791754298D6D6d7C182DC1572126B4eD24897,167820421753095,0.02%
0xA7499Aa6464c078EeB940da2fc95C6aCd010c3Cc,166588576534084,0.02%
0x61879FE8A81827593fAd48dE0dDc45a364b9DE96,166430172518421,0.02%
0xb281C02Eb7ecFAef1CEd8b1781F5D758c2D305Bc,165854931190422,0.02%
0x00957d7b5b9155Ea78D89F747Dc0FCaAd52Ba243,160003256828108,0.02%
0xcE968c0fC101C4FB8e08EB5dB73E7E169A2A3562,159561868298233,0.02%
0x4468882D81F24E367A879B4dFdb135e76fD23b5A,159381787212842,0.02%
0xdEE2d4680a9A433ed4C56C57B98A28b4d9f9244b,156613413901698,0.02%
0x590d98993AC88905d57E7410937EBD82B1d3b2E4,155383180974783,0.02%
0x5228b399Ff05f4Fc2e643a19B3304449f510E518,153590653463404,0.02%
0x6Beb9286AC85d7cF638d86286A9AE098b33688e2,152000664062406,0.02%
0xA110d783a5b6B0B2A2C867094364E8f9752D5B93,151533828914057,0.02%
0xc540b6748f64547e213F8E4dBE84f23dA416794c,151477964572864,0.02%
0x8d35bD9CAb090aF815d872e75D02d77CE826E481,151053650607151,0.02%
0x2D1F98e03Ee1261e87718dcA1654d357f582aaF9,149112105453460,0.01%
0x4d03AEA34FFEfD6af6cc154B3f03501AE083fB92,146096562993624,0.01%
0x57740dD5FED3b8fF777BbBe73e5D7510B1daF318,144726887527435,0.01%
0xD7E8311a47518c4f59ce3d7E3f59a1Bb0713899F,143865844445508,0.01%
0xba96a2ba89eA249148ee599d2BBcD669DE94d4B6,143000692301942,0.01%
0x82fcd7cD3151b0ab9e4c00629f123D45AD17FA73,141230950951392,0.01%
0x4FB0297ea31b84448A36Ed8efc31EBbc0124dcB0,138906999879512,0.01%
0xb54F09a307e20b6E60F8b4f8d2b86cDFCd8efB01,138311877002468,0.01%
0x0E938f234CFf703624a24770A18094CD71e2B37B,137658024851494,0.01%
0x579B48Fa60E901E75a8c143bB1ADc04D738535f8,137447311245929,0.01%
0x5b63B4929094C6A68C39F787939B5B318C47272c,134095754857656,0.01%
0xB9086E8c8bEAf77B316acd78dC8AA8b09f5FAb92,134008585066382,0.01%
0x57f85277a44ba3B4a725236F46473df2B9bE9BF3,131968937818983,0.01%
0xA8DDc541d443d29D61375A3E4E190Ac81fB88608,131797768734906,0.01%
0x92B7AF918F52c0f6974B5EBe4653d51a7b12138D,131756640356750,0.01%
0x7cac66ab4bB948FC4FECfC6a92c5E6D51Fe7CeE8,130868018091430,0.01%
0x0Df3206a98F9feAD898Cd5Bb8CedA5BB8DC9563c,126191128774039,0.01%
0x61d7ecE32854CaF46c6304Fd536704EacD4dA256,125092158964939,0.01%
0xBB5f772A464980776b8B4c815A56365181B0E759,124167816442513,0.01%
0x93Aa01eAb7F9D6C8511A4a873FEa19073334c004,123564621172872,0.01%
0xc4417F80695f9198d91B233F707EB73baD529497,121963834552691,0.01%
0xF1cCFA46B1356589EC6361468f3520Aff95B21c3,121696732877106,0.01%
0xEcd934E335B71a6bB41cc43bc1C3A21AcA4b22Dc,121553452663587,0.01%
0x04F648bb839033BBA7C6341529Bd7dd6fD6d413e,119441912988756,0.01%
0x7F0A650d08c5e7077C9075691ce66dF62e269F2B,118686433553129,0.01%
0x55A4931f9dc69d334C7bC07A5A90775DFc6D0728,117850063684764,0.01%
0xCf3dE928E1128dFEeB9AdB4e8151a9b1C54B393d,115693383061269,0.01%
0x94A468FCB53A043Bf5Cd95EF21892E02C71134Be,115497145251813,0.01%
0x950E5BbDADf252609F49b2Cd45222cD3280F35d6,113896360142239,0.01%
0x6359d66Fe2c49843D63B36fc26a62b0522f9a618,111639193916649,0.01%
0xac4CD92Db83280a3857682522ab96b4C5b63D8C8,111461610832180,0.01%
0x051a3190C9342211Eb311723B23B8c7cBD7b5a5D,110411029668858,0.01%
0x675c7e796844492fDF4F136B31F5E4F769909A7F,110071025448844,0.01%
0x3C3F95BB7470343D9B153bB0887ee766054D3372,109525890795528,0.01%
0x8f8c16f94f3fDecAAf66CE4A5b5b14715c4aC579,108917803565005,0.01%
0xc933f86D3DB055Bb0BE2E5B348cEE46C2eC1A425,108586103119536,0.01%
0x4334703B0B74E2045926f82F4158A103fCE1Df4f,108571370325466,0.01%
0x8Cd32134847e764a3784A87C5a5B4c13474f516f,108120416526002,0.01%
0x3c229864378b3B0adF98aE247Ca33986AED8EC1E,107166824433867,0.01%
0x193641EA463C3B9244cF9F00b77EE5220d4154e9,106485051786946,0.01%
0x02B2D6a3298a4B20aa4F7A0a57e920E9FC9aD864,106257045723390,0.01%
0x2A9D0d1C6dEb6D9e18F17a75ee78603004eaba1E,105485966057549,0.01%
0x49De76E8e7c1b6a974D6B766B9b5F5d199566e94,103400527347382,0.01%
0x817Ed85EcEa07D7E90f228dc3A78085b1022ED0a,102909149163436,0.01%
0xC9DE307d28202cDad6186884dD76BBF0CCcA0504,102412600943139,0.01%
0xb4fE865b45442EE519E6eEbF2d78b1Dd3BAd83B9,101642205775205,0.01%
