address,mantle_shards,arbitrum_shards,l2_shards,l2_shards_pct
0xa0f75491720835b36edC92D06DDc468D201e9b73,10748268727.857723,0.0,10748268727.857723,0.04528889768075597
0x9e990C8Dc9768f959B5AbF7910f5FD3B965CCF24,10284918808.313921,0.0,10284918808.313921,0.04333652678010876
0x4ea7b4D10a01c93509BaA0CBb128c89344A1F578,10263354439.796999,0.0,10263354439.796999,0.04324566317183465
0x651fAc183D2ac9753BEc39F7530aDf1B873f0314,6519277685.781,0.0,6519277685.781,0.027469623949625495
0x0f0c716B007C289C0011e470CC7f14DE4fE9Fc80,6469844279.549999,0.0,6469844279.549999,0.02726133138330693
0x6CEa03069A82943d7e20E256a2892B95b15bd6EF,2943090042.4110007,2914983759.816,5858073802.227001,0.02468357572301365
0x97e7AaBeaDc64B71a86f4e76F7E72cbC5B06d37f,4814281198.049001,0.0,4814281198.049001,0.020285451927687846
0xc4379783c88f812476C726b8D657b8d32Bd0deEF,4213043448.3430004,0.0,4213043448.3430004,0.01775207696119962
0x0955874d0D1EC5B43C5eec3cF1dA3263ad15577C,2379679287.69072,0.0,2379679287.69072,0.010027015001393616
0xbB226555fBB98850273B10b0CF55aD2f99966d20,2291578499.52,0.0,2291578499.52,0.009655793581267013
0x21ca9ce44f0a206Ec1450414bd758d83987CC012,2245000246.576,0.0,2245000246.576,0.009459531486864613
0x21668704CC931DEA881540CF9f20a3240Aa4a6B6,2222187941.665,0.0,2222187941.665,0.009363409574663185
0xDe924480290cCD2c0e3DaECED48d57420F604Bb2,2022244748.9428399,0.0,2022244748.9428399,0.008520929076042232
0x551B30bc933E26E098Bd2e68d436C24ED39B7312,2004746755.0440004,0.0,2004746755.0440004,0.00844719954104753
0x3C2Dbb2596FF51eb89f2049fAB605391987Eb089,1859792814.963,0.0,1859792814.963,0.007836421719337884
0x2Ea0963fF33E420AD67cd736d1f44CAC2fd4adEE,1639591606.4532797,0.0,1639591606.4532797,0.00690858205940009
0xd507eEeF2152d54B8c00CBA499340f7B7a59c948,1626160833.2559998,0.0,1626160833.2559998,0.006851990162741559
0x2B451Fc8ec89449c6721078ffaD8024a6B29Fe9c,1559195268.6228797,0.0,1559195268.6228797,0.006569824105900895
0x6873a97b6a2512B3A275AD6D21e88C15DA97B0a6,671092920.51602,833730971.6636003,1504823892.1796203,0.0063407249117098845
0x27Be78C795a342c793E76767F6173B6FeB3f8678,1455300634.22042,0.0,1455300634.22042,0.0061320537462115
0x4d43C40D14eC57BC0a7D7b24BE8a2677EDDB67B9,1421846378.5476403,0.0,1421846378.5476403,0.0059910909176376795
0x2B51d730cdcd79B235D929e402B744cb3FfDd24D,0.0,1337775778.065,1337775778.065,0.005636851093567251
0x8A25d8C9fa8C7A726137f2D618d85CbC2C083F78,1316725747.59622,0.0,1316725747.59622,0.005548154699737192
0xf815b85CCf222608cB9c869a6B5C1684DFDE3EB7,1250668058.84384,61975606.6988,1312643665.54264,0.0055309544416184235
0xbDfA4f4492dD7b7Cf211209C4791AF8d52BF5c50,1282881877.06,0.0,1282881877.06,0.005405550190244144
0x939E02dBF5A562d8E2318E0571C6136a71944c4e,1240619652.54828,0.0,1240619652.54828,0.005227474110260059
0x298629982613bF36C48d0B31afd2Fe7d1b4604dc,1183667919.1487598,0.0,1183667919.1487598,0.00498750232578211
0x8C82c4A38cD832B9237826B2Fe4379b7fb184F35,1156959775.1915998,0.0,1156959775.1915998,0.0048749649088692185
0xc253B19091852b0a05728241946fd3e80F089664,1153904725.3821805,0.0,1153904725.3821805,0.004862092153104394
0xbbE6495f5de6805C3e28BD66B26Ad2076C006DC8,1137550656.0,0.0,1137550656.0,0.0047931826576622216
0x22B6f518Acd6e51c1aac905AAF6B27fa6110c2D2,1132033731.7942798,0.0,1132033731.7942798,0.004769936549643191
0x989536719a72Cfd50348cCD5521256c7eb41A999,1128483570.75724,0.0,1128483570.75724,0.004754977593551968
0x474F18a13762dE5F18E5400A026a19B68c35BcaD,1070018021.6980001,37973537.556,1107991559.2540002,0.004668632468049315
0x385b0e755cfc9B2ee0b10E4c73e6926DA71dCdeB,1096357604.63824,0.0,1096357604.63824,0.004619611644923623
0x94D283704DA7969Ef64b2f21202cC8127d9ADDa4,1064295460.18334,0.0,1064295460.18334,0.004484514615215007
0x549e6dd8453Ed87fCcdcf4F8B37162b10Edc0533,1027440766.014,0.0,1027440766.014,0.004329223701343014
0x34b30004dE2a462F60909642101d8638B1D89894,978928574.75668,0.0,978928574.75668,0.004124812765800659
0x0837130373FE2d85CCF880545C45Bf9aa8291Adc,974143346.8034999,0.0,974143346.8034999,0.004104649732605465
0x50E88C692B137B8a51b6017026Ef414651e0d5ba,947224624.6896821,0.0,947224624.6896821,0.003991225023717266
0x7121C58525134A1171E116cdaefaE65CD0225851,939468947.3630002,0.0,939468947.3630002,0.00395854570709554
0xC823373dB87560e44593195dC5Ef4Bdf11620e8b,932151373.11134,0.0,932151373.11134,0.003927712381287838
0x807DDeF4F2Bd5797a28129429883C189a349EE37,923856667.449,0.0,923856667.449,0.0038927618152436467
