Mainnet_addresses,SMR per Address,100% value,% LZ airdrop per address
0xEd10C8B619D2B97c2b149424bF7232F1De029b89,45719,30033851,0.152226297%
0x46EFED9ABe4D82FFFDED8915d4f3BcAfAE3804f5,45743,30033851,0.152305730%
0x562dD7A7b3d3b19f3c0647c6E36cF671993eA9D4,47263,30033851,0.157367196%
0xE5474403d29152F605479328B1e7282c09FF2194,46556,30033851,0.155013147%
0x01f1807e378B34ef02EF7aa2c2997ac35E53218A,27841,30033851,0.092698766%
0xfd6D1D7D53CD47d422dFC62767499c052E90B313,38523,30033851,0.128266365%
0x2BD31Af41200e6113A6f95847825Cf45d71F0Bf3,44075,30033851,0.146751332%
0x577Ca32dC356504bb625476E9698316B9d20B121,40695,30033851,0.135497031%
0xcE5a9852B4f003bD9da0Cef2A6D91B94FD71b676,45302,30033851,0.150835841%
0x36CCeccb1B604dC0F2E1Fc4229235a45483468f8,40436,30033851,0.134635884%
0x9EE19889D7447A54319bb5c74a32585a3D228631,47898,30033851,0.159481460%
0xcF8e0e46075d9837E880641818B4C7c4ae42CDbB,42430,30033851,0.141272655%
0xFee6be6B5cc8Cb4EE8189850A69973E774e7614e,37333,30033851,0.124304347%
0xD8284105c33E7055c099f5B3AdEe0ae1A7393786,38568,30033851,0.128414839%
0xab38D4f6Dea8c4C93cA6174eb3ba97F02d564A3b,28126,30033851,0.093646028%
0xb8E88Adf9Ad8B794Fb6607da5495a4c688C8bA07,36211,30033851,0.120566523%
0x2b4CBad443d2cc53f27D4776D0F5De6FD18C455d,35891,30033851,0.119500482%
0x874C53f1fFBeB38707bd66E8BFA20e6177a7e207,35148,30033851,0.117026912%
0x951A2f5ff381d1Ba10D42Ef9968E3c718E56266c,35063,30033851,0.116744812%
0x60C97d7c128a1C6FfbDB3E268794266696830b6f,35632,30033851,0.118640078%
0x82D25a4857ecC342Db30eedB02dB4A539cFF3A45,33071,30033851,0.110113980%
0xf0E025e5733b885b689CC33632cD608E4eAc5D56,33676,30033851,0.112127282%
0xC5cDB2CaA43CC1a7613175b6d90315f6e4a1F96C,30903,30033851,0.102893707%
0xa12bE66DC0c7F33050692B7CCf44723454E5c1A0,32111,30033851,0.106915858%
0x8863983D88D9a1CA31391166d13A0A3628136965,29339,30033851,0.097686737%
0x06A47Ad849FA067c3d99c0A1849f8B885b7E742d,30791,30033851,0.102521039%
0x8FcFc4d481555D9b99b114E6EF237AD1ebdc222E,29751,30033851,0.099059376%
0xb2F82f58CCBBd836F56A98aE01785928d97523Af,24160,30033851,0.080443010%
0x9E8d8C9c01410F4d2472143CF5ac4b25BC8A5ABe,30858,30033851,0.102743749%
0xe4A5406e6E54E7961893f8d00872B2188208cDfC,31455,30033851,0.104731068%
0x05CC5485ea6dF73f94a56825e8AEB150e42C1eaB,30416,30033851,0.101273860%
0xA26c8aE98E13CC22E6cB899678d8e033c0F75285,30332,30033851,0.100991760%
0x2Ac43a044189D07998ac30A07d4197A681bF3637,30559,30033851,0.101748976%
0x5e636E28C8dC98AF77D8AfF4ad22293b5dDd2951,29783,30033851,0.099165535%
0xC12796ff70d56129DD99d1CF32d7EaE3Ab4360C7,29435,30033851,0.098007440%
0x1AdADcf52D6e9c08b690e31c4CEfE4d48c572251,25206,30033851,0.083926944%
0x95e53B2638b2042Ba617f81F49C0b0b18c66FCA6,28672,30033851,0.095464829%
0x82259887175F195Ea6Ac379C6aD593F96EB33a02,29651,30033851,0.098723826%
0xA6FD1fc3CCd1676F867B3A5cA8Db84Cb9C976EE7,41649,30033851,0.138674366%
0x739fe6482C340ff7774AB05ecB90A683987eDF41,26413,30033851,0.087944640%
0x0884eba1C500D2A49a407FF718B48B4cf321B890,26876,30033851,0.089485054%
0xF02C4571A6F89d518f657Ad11d4F8588A7F2Ff77,26622,30033851,0.088638755%
0x40C17108b48335839126BC0A868B69350df62345,25551,30033851,0.085075388%
0x2B62Fc2A2E4Ca8d1ABaAE6C8674E07eCC6417381,26876,30033851,0.089485054%
0x6Cc985699C3ca432bE69b6021280aa77a0E71917,26796,30033851,0.089217802%
0xFbcB24b6641626334CbF04079348d846EaF8accE,24881,30033851,0.082844571%
0xEbCc3bCAE46663DDf0d6D01c042Fc1257BDf5E3F,25404,30033851,0.084583197%
0x37ff04592ECb48261727c80bc9e5365fA6CBBe5c,26724,30033851,0.088980244%
0xE4C1c91319Df3C436A6A2dCa3F2C2320C6A5fBE3,26555,30033851,0.088416044%
0xDfD183ed16fDB89a8E6fefE5559Ac1669Ecde700,26042,30033851,0.086708597%
0x214016aF97E9435189d81C57864F6256B86E9c33,24612,30033851,0.081946306%
0x1313d2F4Fe3f3fD224b53A5eD8fc74CF01872381,25922,30033851,0.086307719%
0x0DF2Ed0DA82A61DF768c4B6D3FF2654AF236787F,24874,30033851,0.082818588%
0xfA89Dc5686fE10f610f4634F3d6ad12c863607cf,25320,30033851,0.084303325%
0x04A317BC82066cA941BB878176725c62025a48eE,22447,30033851,0.074737911%
0xEf3B2A6ED067Fb7aFc6e2214757F25c8EdBDE841,23433,30033851,0.078020663%
0x68e956ecf47A181C2b3669fcBa0f001A2AB9Ea09,24093,30033851,0.080220300%
0x879e48db77771E1cf6B7F1c70EDcc85788d7b8F9,17266,30033851,0.057488246%
0xffafE70477A6ea45295F104645D2AC81F8a524E8,23634,30033851,0.078691022%
0x0ab41Cfc1ec627F63083dA199DA0e56f3b8873c5,22805,30033851,0.075929412%
0x825b7ACa3710c040a0Af9CE7ED9eBbF19100Ac6C,24570,30033851,0.081808968%
0xc437b7985468EC7Fc14F2A810b852F400a918392,22559,30033851,0.075112807%
0x81398Dd7fE6edf6791CD510f069954fb99fa339D,21221,30033851,0.070658598%
0xF930fF716b913D89F8A39b10EB14BeBD066bDbC4,22385,30033851,0.074533760%
0xf67192Cbd0eC51E51dE8c6630800ff68aED2dE9D,22617,30033851,0.075305823%
0xC9FFf338e3286A5B3731F80e7Ea5B38CA1dcFf4C,21131,30033851,0.070355712%
0x5CCF1fDab97929320Bca81820177d9Ca5E758e43,21815,30033851,0.072633298%
0x540651814E11058af8967C3C98Ea9A06E0130f90,18411,30033851,0.061299563%
0x4D017c243C0446271f2cCF8Af86912080F82EcE9,20543,30033851,0.068398830%
0xF17ac82CB2c92853100f150591973857B1b48D7F,18274,30033851,0.060845234%
0x52E971579d0C95be684c6d5ae66045578182C296,20869,30033851,0.069485657%
0xEd47e32F69caa24873C71d1c760e2a07AAeCA00E,20628,30033851,0.068683899%
0xe10A16af1ebc6CB90410110c4d860f8C5828B8F1,22742,30033851,0.075721549%
0x64eCc4f8fF76E58d7C2245f34d32B039ebF42bDf,19506,30033851,0.064945333%
0x2BcA7dd1d2D4639d6E66A1968cFbc48807639710,19389,30033851,0.064558560%
0xc0f186F46EA9B79a2da63232a3A1995c05d9a592,20245,30033851,0.067407026%
