Address,Percentage
0x115f1c573e4c56acbacc56f6d3db728359af536b,0.2255728%
0xe293dc11d4a4953957e3b06e7766cdb07fdb63e6,0.2108748%
0x423e23df303c24c3837d04daa9b9625cb21b07d9,0.2079058%
0x509384faa50ff91c5ba5a726706cea424b98df1a,0.1961503%
0xd7fbaeea3c72a4f0bd1775dad2c673c3bd617966,0.1933465%
0xbb3ebd0c52b3f6602d0da27a93d3d4b21e6adf6c,0.1900019%
0xdc163e65275368b3145a1a386737d0cd6127c1e2,0.1896997%
0xf62c9ebf99607be71567c35a3e066e5b90baa7eb,0.1832552%
0x999428d10ed347cd0da96e2051d0739a16faa544,0.1796895%
0x1551db4acc3ac3cffcd2d6355d6333feddbfcaa2,0.1779170%
0x27d4cc27c2f1de54f4e9fca8dcbfc4ba8eac8d41,0.1760296%
0x2b8dbb605f88b88f138ce024058eb439c2832ddf,0.1741465%
0x13ed25ceb23f03280be3d2c540029b7cbb7d808a,0.1734845%
0xec4a6f59960fb55a7fa49262e2628687b322cf62,0.1675988%
0x8bc3759b255d92fb271085bbd9d1f5b50d4b0e31,0.1667549%
0x730eb1351c49b4737de778dd91035ca5dd466aa8,0.1634920%
0x8153efd708dda27549385c20dbf1b84512a4a616,0.1634585%
0x4596e76692cff0e87fd9386cbdcc874e036f292f,0.1634585%
0x148c67ace132281d83a7bc72eaffb884cecf2f56,0.1622152%
0x4d667fbcfcb1f81ce871eb298f85ce0f93038bd0,0.1535558%
0x2d5824697ffad81293d6b6912b7710a3703b97cd,0.1460513%
0xa0faf0ed5b8507d08bf26290c8345be8e202b909,0.1454751%
0x9ed2af9d4ab71740e4d63fab593be7e8701ea169,0.1449019%
0x9eafadb7648fd60d167e80e3fef0361f615ebe0e,0.1390636%
0x8537c79fc902ec807732522fd1bf1ad7834ee8e9,0.1356573%
0x304580b2b6267cc5362bcdcb8c59ba8ffc5b3cc8,0.1330888%
0x190c8d7a78e5603cde8a95d48b96d3f30fbacb30,0.1315520%
0x0c86262354095fa35a21b58af3e0dd94d0ba767c,0.1310346%
0x376bdcc7cd4db6a874a1fc6e6ff44c9bb5171cbe,0.1307668%
0x6c210fdc6b7e2cb1e3f7e3af2e711ac8cb631186,0.1302127%
0x1da2d3b08c310e9b1c7e5d8434c99b0e0c16c6e5,0.1263330%
