address,volume,deposits (OP + WBNB),withdraws (OP + WBNB),Net Flow,,weighting,airdrop allocation,Total LZ Allocated,0
0x783f2bc733731122bd1f6c354faaa5152610ac67,5853.405,5920.118,6125.382,-205.264,,0.00125698918,0,,
0x4eaac96f2d275764ad7259c303fc932d8f6b1e49,5161.309,5152.839,7526.483,-2373.644,,0.001108365057,0,,
0x6d1b0ba383cd362f180ccfe01733b19260ca2459,5116.421,5056.001,5741.002,-685.001,,0.001098725586,0,,
0x6cd57998cc8a6ad4cef6d5991df0b7417b85abf5,4977.141,5038.516,0,5038.516,,0.001068815909,0,,
0xa578994a409696e4d8d1cdcc93aba4c34022c93b,4704.735,4806.263,7289.076,-2482.813,,0.001010318095,0,,
0xc41aa6448970a1975bc857e4a07fec005ce4b2cb,4263.671,4275,0,4275,,0.0009156018272,0,,
0x7f2fccaf717128bdf5efabd67a8ea9a812d5813e,4097.75,4211.253,3133.153,1078.1,,0.0008799711299,0,,
0x694cbc24aeab1af96a5c822f594f62719cf0d612,3940.176,3937.865,0,3937.865,,0.0008461329087,0,,
0x17d0a7eeba3ed2ecac6503477ffbb76366a67e9a,3830.997,3789.06,0,3789.06,,0.0008226872695,0,,
0xdb6d9d4ae06b843639ab5ea567af30ece0374003,3495.407,3505.346,3671.547,-166.201,,0.0007506210109,0,,
0x6adcc5c7d53765e4d2456a95015ea384924bef4a,3419.689,3490.522,1873.464,1617.058,,0.0007343609525,0,,
0x9f1de33fa992c5d19d2bb5465773975809bb0012,3337.464,3363.703,3545.892,-182.189,,0.0007167035488,0,,
0x8d60a48c0947aec002d470a6f4ce4f2a195e530b,3323.661,3274.196,3444.795,-170.599,,0.0007137394242,0,,
0x9c78a340c464d5fecb642c73ea02dba0af6834b2,3273.901,3298.894,3472.213,-173.319,,0.0007030537154,0,,
0x8ef8bcef3151155eab488cbb041695a65a942dba,3260.639,6592.61,7280.272,-687.662,,0.0007002057678,0,,
0x7db4fd6205bbb1f3aa134fa723d1f20a60bab635,3228.753,3258.413,3365.338,-106.925,,0.0006933584102,0,,
0x05fac1ae20b0c4b06699dec78c23e94bddcb05f0,2844.991,2611.635,0,2611.635,,0.0006109474577,0,,
0x42a045bac9c01d48b16618385d6afd0dfea3c29d,2674,2924.706,1563.779,1360.927,,0.0005742280035,0,,
0xb5609d010cda9a7bef1335875f58ddc23f964ffb,2555.073,2562.641,2811.332,-248.691,,0.0005486890305,0,,
0x4a1c3cb0efa424ffe121844a34e7788494a882f4,2443.58,2462.843,2476.752,-13.909,,0.0005247464715,0,,
0xdfa0426ebcb7bfb5db14f234db70bf3708b8ba7b,2421.656,2382.201,3662.804,-1280.603,,0.0005200384032,0,,
0xfee0a5607c453f0ea32599ad0388eabd37a9c404,2390.156,2428.588,1088.56,1340.028,,0.0005132739371,0,,
0xe492bcf10ed5a90c2b7cabf6ad335890b3b1a6fa,2264.957,2275.533,2716.383,-440.85,,0.0004863880838,0,,
0xee0fc1c777e87931e8fe74ba7c70d9a919bb4193,2154.653,2181.143,2416.509,-235.366,,0.0004627008566,0,,
0xbdf81b19af7848f7384c38e68208885ff0c9f390,2103.841,2100.13,3376.026,-1275.896,,0.000451789236,0,,
0x318ae2cb52678eb26d2e8b925fb87f4a1fe30d93,2092.593,2097.366,1500.258,597.108,,0.0004493737848,0,,
0xfbcd73f7ad89377996f7b641fd0c8d1bcfa66ec8,2045.373,2007.56,2088.552,-80.992,,0.0004392335281,0,,
0x7d342959be3af358dc7fa4f04bdd9f5b36446677,1883.362,1878.22,2035.284,-157.064,,0.0004044424836,0,,
0x3fde23a0cbb3cecf37c92c9881f95997288029ab,1803.969,1803.936,1839.771,-35.835,,0.0003873932376,0,,
0xd9d1eb093c83c2f32b4655232ee4216e70d2769f,1802.409,1817.548,1866.011,-48.463,,0.0003870582354,0,,
